ParName   Value   Gradient
theta[3]      14.3137  -0.00151087
theta[11]      9.91969 -2.69211e-06
theta[12]       9.9314 -2.70519e-06
theta[13]      9.98358  5.29107e-06
theta[14]      10.2311 -2.47348e-06
theta[15]      10.8857  1.95563e-06
theta[16]      11.5095  1.42721e-05
theta[17]      11.8189  9.62329e-06
theta[18]      11.9036  6.46429e-06
theta[19]      11.8839  3.25309e-06
theta[20]      11.8614  2.42038e-06
theta[21]      11.7529   6.2247e-06
theta[22]      11.3712 -6.65319e-06
theta[23]      10.9515 -5.41322e-06
theta[24]      10.6523  3.43743e-05
theta[25]       10.839   1.2234e-05
theta[26]      11.7248  6.67238e-05
theta[27]      11.2677 -0.000162915
theta[28]      10.4672  3.76035e-05
theta[29]      9.46671  7.08662e-06
theta[30]      8.46895 -1.99675e-05
theta[31]      7.63468  1.85054e-07
theta[32]      7.23233   8.9979e-06
theta[33]      12.1921 -8.83379e-06
theta[34]      12.3382  2.09796e-06
theta[35]      13.1497  3.71574e-06
theta[36]      13.6964  8.26109e-06
theta[37]      12.9763 -5.36168e-06
theta[38]      13.0686  7.55521e-06
theta[39]      12.8381   7.8098e-06
theta[40]      12.6296  5.76211e-06
theta[41]      12.5577 -5.72655e-06
theta[42]      12.0171  4.09177e-06
theta[43]      11.4645   5.5098e-06
theta[44]       11.459  4.15167e-06
theta[45]      11.5386  1.02983e-05
theta[46]       10.398  2.14856e-06
theta[47]      9.03317  4.50666e-06
theta[48]      8.02588  1.49888e-06
theta[49]      7.28691   4.5643e-06
theta[50]      6.75539    7.646e-06
theta[51]      6.36809 -5.41715e-08
theta[52]      6.08167 -8.79045e-06
theta[53]      5.88277 -4.28954e-06
theta[54]      5.77943    6.985e-06
theta[55]      11.1596  3.74953e-06
theta[56]      11.2333 -4.11155e-06
theta[57]      11.4714  8.37453e-06
theta[58]      11.9007 -3.64945e-06
theta[59]      12.9499 -2.34652e-05
theta[60]      13.4769 -9.14627e-06
theta[61]      13.1764 -5.91972e-06
theta[62]      12.2761 -4.34569e-05
theta[63]      11.2132 -7.07592e-05
theta[64]      10.0254 -5.89939e-05
theta[65]      9.22239 -2.06466e-05
theta[66]      8.64507 -1.01907e-05
theta[67]      8.31641 -1.50954e-05
theta[68]      8.04148  1.61231e-06
theta[69]      7.77097   7.2238e-06
theta[70]      7.48652 -5.53907e-06
theta[71]      7.23851   -1.466e-05
theta[72]      7.02751 -6.06098e-06
theta[73]      6.85503  3.77702e-06
theta[74]      6.72276 -5.49313e-06
theta[75]      6.63224  1.82322e-06
theta[76]      6.58538 -1.97906e-05
theta[77]     -14.0007 -4.87966e-06
theta[78]     -14.0506 -3.18512e-06
theta[79]      -14.299  4.24056e-06
theta[80]     -14.3433  7.66178e-07
theta[81]     -14.0821 -3.24025e-06
theta[82]     -13.5895  1.62548e-06
theta[83]     -14.3081 -2.30539e-06
theta[84]     -15.3607  7.69783e-06
theta[85]     -16.2741  2.31874e-06
theta[86]     -16.9665  9.32213e-06
theta[87]     -17.4557 -8.34031e-06
theta[88]     -17.8021 -4.08132e-07
theta[89]     -18.0848 -5.34449e-06
theta[90]     -18.3205  1.07265e-05
theta[91]      -18.524 -6.42447e-06
theta[92]     -18.7026  4.87299e-06
theta[93]     -18.8606 -8.87982e-06
G_pars_est[1]  -0.00361146  0.000174288
G_pars_est[2]    -0.255213  -0.00037546
G_pars_est[4]     -2.27761 -2.09219e-05
